GameId,GameDate,NeutralSite,AwayTeam,HomeTeam,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,3FGM,3FGA,FTA,FTM,Fouls
25,1/14/2019 19:00,0,Florida State Seminoles,Pittsburgh Panthers,Pittsburgh Panthers,1,75,8,12,7,6,34,7,27,46,16,5,17,46,38,19
26,1/15/2019 20:00,0,North Carolina State Wolfpack,Wake Forest Demon Deacons,North Carolina State Wolfpack,0,67,10,9,8,4,39,18,21,73,27,6,29,9,7,22
26,1/15/2019 20:00,0,North Carolina State Wolfpack,Wake Forest Demon Deacons,Wake Forest Demon Deacons,1,71,10,11,8,4,41,12,29,52,23,2,11,28,23,14
27,1/15/2019 20:00,0,Virginia Tech Hokies,Virginia Cavaliers,Virginia Cavaliers,1,81,18,9,4,2,27,8,19,53,31,13,24,6,6,10
27,1/15/2019 20:00,0,Virginia Tech Hokies,Virginia Cavaliers,Virginia Tech Hokies,0,59,10,9,6,1,19,6,13,44,19,7,21,17,14,10
28,1/15/2019 21:00,0,Notre Dame Fighting Irish,North Carolina Tar Heels,North Carolina Tar Heels,1,75,15,11,6,2,47,16,31,68,27,9,21,20,12,15
28,1/15/2019 21:00,0,Notre Dame Fighting Irish,North Carolina Tar Heels,Notre Dame Fighting Irish,0,69,13,11,2,8,36,7,29,61,25,10,28,14,9,16
29,1/16/2019 19:00,0,Boston College Eagles,Louisville Cardinals,Boston College Eagles,0,70,14,12,6,3,30,6,24,60,27,7,23,12,9,15
29,1/16/2019 19:00,0,Boston College Eagles,Louisville Cardinals,Louisville Cardinals,1,80,16,12,6,2,41,12,29,62,29,12,29,14,10,11
30,1/16/2019 21:00,0,Georgia Tech Yellow Jackets,Clemson Tigers,Clemson Tigers,1,72,13,9,5,2,28,7,21,53,27,7,16,14,11,18
30,1/16/2019 21:00,0,Georgia Tech Yellow Jackets,Clemson Tigers,Georgia Tech Yellow Jackets,0,60,7,11,6,7,18,2,16,44,21,4,11,21,14,17
31,1/19/2019 3:27,0,Virginia Cavaliers,Duke Blue Devils,Duke Blue Devils,1,72,6,8,5,1,30,8,22,51,26,2,14,31,18,18
31,1/19/2019 3:27,0,Virginia Cavaliers,Duke Blue Devils,Virginia Cavaliers,0,70,8,8,4,4,27,6,21,53,28,3,17,17,11,20
32,1/19/2019 12:00,0,North Carolina Tar Heels,Miami (FL) Hurricanes,Miami (FL) Hurricanes,1,76,13,11,7,2,23,6,17,55,27,9,21,18,13,15
32,1/19/2019 12:00,0,North Carolina Tar Heels,Miami (FL) Hurricanes,North Carolina Tar Heels,0,85,26,15,7,1,36,11,25,60,33,9,20,14,10,19
33,1/19/2019 14:00,0,North Carolina State Wolfpack,Notre Dame Fighting Irish,North Carolina State Wolfpack,0,77,15,7,4,3,42,13,29,69,30,7,19,15,10,19
33,1/19/2019 14:00,0,North Carolina State Wolfpack,Notre Dame Fighting Irish,Notre Dame Fighting Irish,1,73,15,9,4,4,37,9,28,59,24,7,28,24,18,18
34,1/19/2019 14:00,0,Pittsburgh Panthers,Syracuse Orange,Pittsburgh Panthers,0,63,8,16,4,2,39,15,24,65,22,11,35,14,8,23
34,1/19/2019 14:00,0,Pittsburgh Panthers,Syracuse Orange,Syracuse Orange,1,74,17,14,8,10,30,7,23,54,25,12,26,23,12,14
35,1/19/2019 16:00,0,Wake Forest Demon Deacons,Virginia Tech Hokies,Virginia Tech Hokies,1,87,15,11,8,4,22,4,18,51,29,11,26,22,18,24
35,1/19/2019 16:00,0,Wake Forest Demon Deacons,Virginia Tech Hokies,Wake Forest Demon Deacons,0,71,8,14,3,0,30,12,18,48,18,8,24,38,27,18
36,1/19/2019 16:00,0,Louisville Cardinals,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,1,51,13,17,6,6,29,6,23,50,19,1,10,24,12,17
36,1/19/2019 16:00,0,Louisville Cardinals,Georgia Tech Yellow Jackets,Louisville Cardinals,0,79,21,11,5,2,41,9,32,66,31,7,24,14,10,22
37,1/20/2019 12:00,0,Florida State Seminoles,Boston College Eagles,Boston College Eagles,1,87,16,13,6,4,33,10,23,55,27,13,21,28,20,20
37,1/20/2019 12:00,0,Florida State Seminoles,Boston College Eagles,Florida State Seminoles,0,82,12,9,4,4,36,16,20,67,28,8,25,24,18,25
38,1/21/2019 19:00,0,Virginia Tech Hokies,North Carolina Tar Heels,North Carolina Tar Heels,1,103,25,12,9,2,32,10,22,67,36,16,34,17,15,13
38,1/21/2019 19:00,0,Virginia Tech Hokies,North Carolina Tar Heels,Virginia Tech Hokies,0,82,21,15,8,1,30,10,20,61,27,13,28,16,15,18
39,1/22/2019 19:00,0,Clemson Tigers,Florida State Seminoles,Clemson Tigers,0,68,13,11,1,1,31,6,25,58,26,5,17,14,11,17
39,1/22/2019 19:00,0,Clemson Tigers,Florida State Seminoles,Florida State Seminoles,1,77,14,8,1,1,28,5,23,55,25,10,22,21,17,15
40,1/22/2019 19:00,0,Notre Dame Fighting Irish,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,1,63,11,14,8,2,29,7,22,52,24,5,19,15,10,15
40,1/22/2019 19:00,0,Notre Dame Fighting Irish,Georgia Tech Yellow Jackets,Notre Dame Fighting Irish,0,61,15,13,9,4,34,15,19,65,21,7,30,15,12,12
41,1/22/2019 21:00,0,Wake Forest Demon Deacons,Virginia Cavaliers,Virginia Cavaliers,1,68,14,7,6,6,39,12,27,57,22,7,21,21,17,15
41,1/22/2019 21:00,0,Wake Forest Demon Deacons,Virginia Cavaliers,Wake Forest Demon Deacons,0,45,10,10,5,3,33,10,23,55,17,6,24,7,5,18
42,1/22/2019 21:00,0,Duke Blue Devils,Pittsburgh Panthers,Duke Blue Devils,0,79,15,12,9,7,35,14,21,65,28,7,23,20,16,17
42,1/22/2019 21:00,0,Duke Blue Devils,Pittsburgh Panthers,Pittsburgh Panthers,1,64,6,14,5,3,30,8,22,53,22,3,15,20,17,17
43,1/24/2019 20:00,0,North Carolina State Wolfpack,Louisville Cardinals,Louisville Cardinals,1,84,13,15,5,3,24,6,18,53,26,8,23,29,24,12
43,1/24/2019 20:00,0,North Carolina State Wolfpack,Louisville Cardinals,North Carolina State Wolfpack,0,77,14,23,6,2,36,13,23,65,30,12,27,7,5,23
44,1/24/2019 20:00,0,Miami (FL) Hurricanes,Syracuse Orange,Miami (FL) Hurricanes,0,53,11,12,4,1,32,10,22,59,20,8,29,6,5,7
44,1/24/2019 20:00,0,Miami (FL) Hurricanes,Syracuse Orange,Syracuse Orange,1,73,22,6,7,11,27,4,23,53,26,14,30,8,7,8
45,1/26/2019 12:00,0,Georgia Tech Yellow Jackets,Duke Blue Devils,Duke Blue Devils,1,66,14,12,13,7,38,11,27,58,24,2,21,19,16,13
45,1/26/2019 12:00,0,Georgia Tech Yellow Jackets,Duke Blue Devils,Georgia Tech Yellow Jackets,0,53,11,18,10,3,32,9,23,58,24,3,10,6,2,17
46,1/26/2019 13:00,0,Virginia Cavaliers,Notre Dame Fighting Irish,Notre Dame Fighting Irish,1,55,10,7,1,3,29,8,21,61,22,8,29,8,3,8
46,1/26/2019 13:00,0,Virginia Cavaliers,Notre Dame Fighting Irish,Virginia Cavaliers,0,82,12,2,2,5,44,10,34,67,35,8,18,7,4,9
47,1/26/2019 14:00,0,Pittsburgh Panthers,Louisville Cardinals,Louisville Cardinals,1,66,14,12,8,4,37,7,30,56,22,8,23,16,14,15
47,1/26/2019 14:00,0,Pittsburgh Panthers,Louisville Cardinals,Pittsburgh Panthers,0,51,8,17,4,4,33,7,26,54,19,6,21,13,7,19
48,1/26/2019 14:00,0,Clemson Tigers,North Carolina State Wolfpack,Clemson Tigers,0,67,5,15,8,4,33,10,23,51,25,0,7,26,17,16
48,1/26/2019 14:00,0,Clemson Tigers,North Carolina State Wolfpack,North Carolina State Wolfpack,1,69,11,15,3,0,26,7,19,54,24,9,24,13,12,21
49,1/26/2019 16:00,0,Boston College Eagles,Wake Forest Demon Deacons,Boston College Eagles,0,65,17,6,6,2,28,9,19,65,27,7,23,10,4,13
49,1/26/2019 16:00,0,Boston College Eagles,Wake Forest Demon Deacons,Wake Forest Demon Deacons,1,61,12,16,2,3,38,9,29,56,25,5,23,6,6,10
50,1/26/2019 20:00,0,Syracuse Orange,Virginia Tech Hokies,Syracuse Orange,0,56,7,14,8,2,23,8,15,55,20,9,28,14,7,17
50,1/26/2019 20:00,0,Syracuse Orange,Virginia Tech Hokies,Virginia Tech Hokies,1,78,23,12,4,2,29,7,22,48,25,14,30,20,14,15
51,1/27/2019 18:00,0,Florida State Seminoles,Miami (FL) Hurricanes,Florida State Seminoles,0,78,20,14,5,4,32,5,27,50,28,12,20,14,10,17
51,1/27/2019 18:00,0,Florida State Seminoles,Miami (FL) Hurricanes,Miami (FL) Hurricanes,1,66,11,9,5,3,23,5,18,55,23,7,29,18,13,17
52,1/28/2019 19:00,0,Duke Blue Devils,Notre Dame Fighting Irish,Duke Blue Devils,0,83,13,8,8,6,39,13,26,59,32,10,19,16,9,15
52,1/28/2019 19:00,0,Duke Blue Devils,Notre Dame Fighting Irish,Notre Dame Fighting Irish,1,61,9,9,7,3,32,14,18,66,23,8,24,9,7,14
53,1/29/2019 19:00,0,Virginia Cavaliers,North Carolina State Wolfpack,North Carolina State Wolfpack,1,65,10,8,8,4,24,10,14,64,22,7,26,21,14,16
53,1/29/2019 19:00,0,Virginia Cavaliers,North Carolina State Wolfpack,Virginia Cavaliers,0,66,15,15,2,6,36,10,26,52,24,4,10,19,14,22
54,1/29/2019 19:00,0,North Carolina Tar Heels,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,1,54,15,15,8,7,32,6,26,60,21,2,16,13,10,12
